ts_code,name,industry,trade_date,close,ma3,ma5,ma10,ma15,ma20,ma30,ma50,ma60,ma75,ma90,ma120,ma150,ma200,price_1_150,price_1_200,price_150_200,price_50_150,price_50_200,price_max_25,price_min_25,score
600037.SH,歌华有线,影视音像,20221202,8.61,8.6267,8.566,8.485,8.4633,8.419,8.199,7.9484,7.9725,8.0621,8.1507,8.4104,8.5548,8.5666,1,1,0,0,0,1,0,3
839167.BJ,同享科技,,20221202,14.41,14.2167,14.13,13.748,13.5413,13.4615,13.0053,12.6544,12.8867,13.4305,13.6753,13.7246,13.2098,13.5084,1,1,0,0,0,0,1,3
688011.SH,新光光电,元器件,20221202,23.81,23.6033,23.51,24.009,24.3587,24.5555,24.646,23.911,23.9825,24.4707,24.7577,24.4384,23.7494,24.4193,1,0,0,1,0,0,1,3
603838.SH,四通股份,家居用品,20221202,6.52,6.3867,6.312,6.132,6.05,5.9645,5.8117,5.7438,5.8183,5.8767,5.8994,5.9501,5.9586,6.1936,1,1,0,0,0,1,0,3
000680.SZ,山推股份,工程机械,20221202,4.47,4.5,4.492,4.491,4.484,4.479,4.4,4.331,4.3952,4.4857,4.5954,4.7699,4.7341,4.5871,0,0,1,0,0,1,1,3
600035.SH,楚天高速,路桥,20221202,3.27,3.2733,3.272,3.24,3.2327,3.2165,3.174,3.2082,3.2645,3.2992,3.3339,3.334,3.3006,3.2667,0,1,1,0,0,1,0,3
605199.SH,葫芦娃,中成药,20221202,19.27,19.03,18.938,18.92,19.11,18.4915,17.4433,16.2596,16.0572,16.1072,16.229,16.5122,16.4038,17.4203,1,1,0,0,0,0,1,3
301126.SZ,达嘉维康,医药商业,20221202,18.83,18.3633,18.428,18.063,18.18,17.57,16.77,15.9592,15.9852,16.2968,16.578,16.8307,16.917,18.3625,1,1,0,0,0,0,1,3
600132.SH,重庆啤酒,啤酒,20221202,117.03,114.8433,110.626,106.642,107.6767,107.941,103.504,103.3822,103.7237,105.2881,108.3264,114.3122,115.4311,116.9753,1,1,0,0,0,0,1,3
832419.BJ,路斯股份,,20221202,6.09,6.0567,6.028,6.041,6.0373,5.9815,5.9523,6.0306,5.9188,5.7909,5.7104,5.6837,5.6462,,1,0,0,1,0,1,0,3
