ts_code,market,name,industry,trade_date,close,ma3,ma5,ma10,ma15,ma20,ma30,ma50,ma60,ma75,ma90,ma120,ma150,ma200,score1_3,score1_5,score1_10,score3_5,score3_10,score3_15,score3_20,score3_30,score5_10,score5_20,score5_30,week_score,month_score
002795.SZ,中小板,永和智控,机械基件,20221202,9.96,10.1633,10.37,10.009,9.444,9.129,8.9097,8.6914,8.594,8.6021,8.601,8.4479,8.2834,8.2645,0.6596828432875772,0.4867427685213521,0.7401355641025416,0.7378436069303156,1.1219566669553245,1.4166316921060575,1.6624920098256188,1.6502114688054563,1.5205887215355185,2.253176681630624,2.236532855073321,3.1718,0.6954
002799.SZ,中小板,环球印务,广告包装,20221202,15.09,14.7067,14.738,14.376,14.2227,14.174,13.8403,14.0682,14.1962,13.7971,13.5532,12.9616,12.445,12.3877,1.709763117113128,1.7673496848840455,2.1748986896538125,1.0336810211862275,1.2720467928481514,1.526137254371976,1.6647532630748736,1.9208008085195047,1.2305989631002232,1.6105096533207537,1.8582142548338945,1.5994,1.384
002843.SZ,中小板,泰嘉股份,钢加工,20221202,23.88,23.6333,23.214,23.317,22.9393,22.8115,22.897,20.9592,20.6478,20.6859,20.5362,19.1506,17.0157,15.2323,0.7910626241813231,0.9843417347709637,1.068146871126325,1.2443284572945998,1.350268409194226,1.2978801640855195,1.2000083891969218,0.9827701234700342,1.0851382537131389,0.9643823398574056,0.789799604524643,1.1861,0.761
002849.SZ,中小板,威星智能,电器仪表,20221202,20.68,19.8433,19.472,18.757,18.472,18.4505,17.58,16.3416,15.8215,15.2395,14.7931,14.0418,13.4517,13.4393,0.8795758631892963,0.996130518727246,1.4921428979433542,1.1325123396580352,1.6964345662384617,1.917756852651565,1.7511411096887648,1.3982326029336574,1.49793914541426,1.5462446177120914,1.23462902254633,2.9836,0.6899
002877.SZ,中小板,智能自控,机械基件,20221202,7.62,7.62,7.664,7.652,7.6113,7.558,7.5227,7.2354,7.2545,7.384,7.3091,7.0705,6.8279,6.8127,0.7438085767218832,0.6000428590267705,0.5066136314292237,0.806716778759506,0.6811075420264361,0.8400949409823235,1.0140049347927058,1.1026444058911449,0.8442957428922948,1.2569528259371874,1.3668296419800376,0.7305,1.449
002890.SZ,中小板,弘宇股份,农用机械,20221202,19.51,19.2333,19.026,19.124,19.086,19.2505,18.8583,18.298,18.6918,19.342,19.2697,18.4494,17.6202,17.3378,1.1067676861578508,1.1010306990164662,1.1916433327578055,0.9948164486430748,1.076687861112571,1.100043973125262,0.924501282179372,0.8588063174996656,1.082298008422728,0.9293184521027849,0.8632811798307855,1.1794,1.0536
002905.SZ,中小板,金逸影视,影视音像,20221202,9.6,9.1767,8.83,8.377,8.3653,8.2115,7.7513,7.6116,7.7533,7.6913,7.6371,7.609,7.4377,7.4196,0.988194266217787,1.2120589280952805,1.7664846397040073,1.2265391224483753,1.7875884328544502,1.9803131656638893,2.1120101265782427,2.348667508190677,1.4574247165358474,1.721926425275633,1.91487370048364,2.6861,1.406
002911.SZ,中小板,佛燃能源,供气供热,20221202,14.35,14.3733,13.588,12.654,12.412,12.399,12.1387,12.25,12.5588,12.9137,13.2277,12.2302,11.5344,11.0491,1.1222019445072515,1.4407860359799944,2.392556284960204,1.283891943898413,2.132019371977433,2.5221181262729124,2.7955685736699234,3.218952506959806,1.6605909727136092,2.177417334033151,2.507183351572228,4.8926,1.3154
300071.SZ,创业板,福石控股,广告包装,20221202,4.32,4.4267,4.462,4.506,4.7447,4.4435,3.9483,3.5486,3.4585,3.4155,3.4014,3.3644,3.296,3.1342,0.9886210578684884,0.9656020223856184,0.9083839310427296,0.9767160174268388,0.9188393508441406,0.7154692187450485,0.7961045351494457,1.1472103123781945,0.9407436086333728,0.815082911455456,1.174558717077788,0.8881,12.1275
300140.SZ,创业板,中环装备,环境保护,20221202,7.84,7.6267,7.692,7.641,7.4167,7.359,7.095,6.9126,6.942,7.0493,7.0723,7.052,6.8423,6.8232,1.045541706615532,0.9580953836163264,0.7847213748697683,0.9163626640181828,0.7505404805035931,1.008431268417564,1.1128494470893182,1.3422284308029735,0.8190430601051862,1.2144203280931976,1.4647349608477072,0.6935,2.5723
300174.SZ,创业板,元力股份,化工原料,20221202,26.28,25.2433,24.652,23.354,22.14,22.019,21.08,19.1422,18.7148,18.8339,18.6771,17.839,17.0764,16.2862,1.1019621562607442,1.1715873192992448,1.1279937762794747,1.0631828984715388,1.0236229709621452,1.2056359537488182,1.1999633758094328,1.4442961509712735,0.962791042287958,1.1286518787449773,1.3584644307650489,0.9283,2.0013
300515.SZ,创业板,三德科技,电器仪表,20221202,14.57,14.5733,14.68,15.258,14.5753,13.8475,13.13,11.7508,11.65,11.5531,11.4518,11.1067,10.7164,10.6975,1.1055515981525312,0.923632908111844,0.6382360607851447,0.8354498421017268,0.5773010159378272,0.6029458015193142,0.7528483300983637,0.8365209769374788,0.691006194322236,0.9011292984441008,1.0012821054978684,0.5279,1.7963
300554.SZ,创业板,三超新材,矿物制品,20221202,29.5,28.6833,28.356,28.727,28.306,27.055,24.7623,23.034,23.1945,24.6529,24.6864,22.4928,20.7087,19.6573,1.2382067771105718,1.2284099103159225,0.9999231912983766,0.9920878588489792,0.8075575176803313,0.591018974894789,0.5552249534770625,0.6145441147518911,0.8139979846313813,0.5596530070645505,0.6194452530291878,0.6863,1.8914
300587.SZ,创业板,天铁股份,橡胶,20221202,12.79,12.7667,12.718,12.606,12.53,12.668,12.1347,11.834,11.7915,11.9945,12.3707,12.3232,11.5874,11.4135,0.7630205698261033,0.7994602110084241,0.7429630693094392,1.047757088895553,0.9737130277873958,0.9179925423638848,0.7839677523723072,0.7735798208820366,0.9293308898666508,0.748234262197827,0.7383198158052756,0.868,1.2323
300700.SZ,创业板,岱勒新材,矿物制品,20221202,38.76,37.8133,37.55,38.244,37.5787,37.57,36.746,34.6026,34.563,34.9111,34.9842,33.9018,31.1936,28.3175,1.2908847184986594,1.4044434149825311,1.1269321713630778,1.08796966518896,0.8729921078264342,0.953865535947651,0.9233122790540638,0.7793372990511773,0.8024048241039992,0.8486562710309592,0.7163226365468758,0.67,0.7598
300716.SZ,创业板,国立科技,塑料,20221202,18.6,17.6667,17.066,16.455,15.396,14.6595,13.589,11.957,11.5067,11.1765,10.8757,10.4316,10.1853,10.0607,1.0610367722512557,1.08418537406463,0.9637176556422484,1.02181696470732,0.9082792235348072,1.0935868480331283,1.1230129156902724,1.3925089794491157,0.8888864198833951,1.099035301309504,1.3627773148667317,0.8,2.0688
300839.SZ,创业板,博汇股份,石油加工,20221202,20.6,19.4033,19.09,18.337,18.0927,17.7705,16.8323,15.4058,15.1812,15.0363,14.8859,14.5563,14.2365,14.145,1.4760025883429873,1.3570091559412043,1.8573664287388236,0.91938128473381,1.2583761325405052,1.2378467225060792,1.138392656620845,1.1604685024588133,1.368720631402503,1.238216043249614,1.2622276760776197,2.1682,1.4057
300986.SZ,创业板,志特新材,铝,20221202,39.25,39.2733,38.758,36.72,36.2847,35.231,34.607,34.6844,35.0643,35.086,34.7953,33.9049,31.8679,31.515,0.638543800627737,0.4741787182729426,0.6101881211324446,0.7425938797100357,0.955593211511228,0.947757299175809,0.9304358964606556,1.015036589925752,1.2868315207288854,1.2529538983326494,1.3668798217433444,1.8044,1.3281
