ts_code,industry,name,trade_date,ma1,ma3,ma5,ma10,ma15,ma20,ma30,ma45,ma60,score1_3,score1_5,score1_10,score3_5,score3_10,score3_15,score3_20,score3_30,score5_10,score5_20,score5_30,week_score,month_score,turnover_rate_score
300753.SZ,医疗保健,爱朋医疗,20221202,28.5145,21.63676666666667,15.794660000000002,11.37208,10.600299999999999,8.72671,6.790086666666668,5.054035555555556,4.096873333333333,1.3178725102179467,1.8053253441352963,2.5074128919247842,1.369878596099357,1.9026217426070402,2.0411466342147553,2.479372715108749,3.1865229015240844,1.3888980731757077,1.8099214938963253,2.3261352579692156,2.2728,3.7038,60.4511
600094.SH,区域地产,大名城,20221202,3.0075,3.5924333333333336,2.83522,1.78158,1.463733333333333,1.2630050000000002,0.9687000000000002,0.8461177777777779,0.755855,0.8371762871962364,1.0607642440445537,1.6881083083555046,1.267073924892366,2.016431107967834,2.4542949535434513,2.8443540075718885,3.708509686521454,1.5914076269378867,2.244820883527777,2.9268297718591922,3.8949,2.6769,60.3705
605179.SH,乳制品,一鸣食品,20221202,33.3311,15.839366666666665,10.44528,6.06969,4.794120000000001,4.129865000000001,3.967513333333334,3.3906155555555566,3.252571666666666,2.1043202484947843,3.1910202502948697,5.491400714039762,1.516413793279516,2.6095841248344915,3.3039153518615847,3.8353231078174863,3.9922655164359866,1.720891841263722,2.5292061604919285,2.6327019274877457,6.1657,1.4602,60.2925
002875.SZ,服饰,安奈儿,20221202,20.6436,29.396466666666665,21.68918,22.9366,17.23740666666667,13.602089999999999,10.189763333333332,7.495162222222224,6.302758333333332,0.7022476624174787,0.9517925527843837,0.9000287749710071,1.3553516853411085,1.2816401152161465,1.7053880108028623,2.161172780555537,2.884901808318087,0.9456144328278822,1.5945476026110694,2.1285263740178464,0.8968,4.9881,59.6705
002314.SZ,区域地产,南山控股,20221202,16.8647,18.119,14.938759999999998,8.922929999999997,6.901579999999998,5.81201,4.778183333333334,4.0440088888888885,4.502873333333334,0.9307743252938904,1.128922346968557,1.890040603254761,1.2128851390610735,2.0306110212676782,2.6253408639760756,3.1175101212833427,3.7920269558514215,1.6741989458619537,2.5703259285513957,3.1264518244381576,5.1387,2.1544,59.6698
000402.SZ,全国地产,金融街,20221202,2.3015,3.810366666666667,3.00444,1.83404,1.4695399999999998,1.2630849999999998,1.0099666666666667,0.8839088888888889,0.8568083333333334,0.6040101127625512,0.7660329379185471,1.2548799371878476,1.2682452192976617,2.0775810051398373,2.592897550707478,3.01671436733606,3.7727647777154365,1.6381540206320475,2.37865226805797,2.9747912472358826,4.5272,2.4335,59.6623
000069.SZ,旅游景点,华侨城A,20221202,2.0239,3.7613999999999996,3.3304599999999995,2.06267,1.6945266666666667,1.442305,1.1385999999999998,0.9144644444444444,0.8777133333333332,0.5380709310363163,0.6076938320832558,0.9812039734906699,1.1293935372290915,1.8235587854576836,2.2197349112239797,2.6079088680965534,3.303530651677499,1.6146353997488692,2.3091232436967215,2.925048304935886,4.1899,3.086,59.3163
000608.SZ,区域地产,阳光股份,20221202,7.6707,10.725933333333332,7.67548,4.82984,4.168740000000001,3.552049999999999,2.9006333333333334,2.3622955555555554,2.3402233333333338,0.715154547545202,0.9993772376450724,1.5881892567869744,1.3974283475865135,2.2207636967960287,2.5729437032132805,3.0196459321612408,3.6977901377860003,1.5891789376045584,2.1608592221393286,2.6461393488778313,3.8683,2.5007,58.9702
603043.SH,食品,广州酒家,20221202,2.1629,2.9348666666666663,2.0913399999999998,1.2826600000000001,1.0137933333333333,0.91414,0.8686233333333334,0.6745688888888888,0.6064666666666666,0.7369670399563866,1.034217296087676,1.6862613631047978,1.4033426734374452,2.28810960555928,2.894935851488469,3.210522093625338,3.378756422998844,1.6304710523443466,2.287767737983241,2.4076488850172875,4.4123,1.722,58.6623
002095.SZ,互联网,生意宝,20221202,9.0733,9.3434,10.416,9.557479999999998,7.208519999999999,5.690465000000001,4.273913333333334,3.042671111111111,2.495226666666666,0.9710918937431768,0.8710925499231951,0.9493402026475599,0.8970238095238096,0.9776007901664459,1.2961606543368127,1.6419396305925786,2.1861463420721368,1.0898270255339275,1.830430377833797,2.4371107197619044,1.1974,5.452,58.4578
600743.SH,区域地产,华远地产,20221202,2.3578,4.652666666666667,4.0324800000000005,2.46082,2.0855333333333332,1.7948650000000002,1.3868800000000001,1.1491177777777777,1.1054316666666668,0.506763146582605,0.5847022179899218,0.9581359059175397,1.1537978283008634,1.890697680718893,2.2309241441038266,2.592209813365722,3.354772342716505,1.638673287765867,2.2466759338446067,2.9075911398246426,4.5352,3.066,58.4048
301166.SZ,医药商业,优宁维,20221202,37.243,42.91426666666666,35.1462,22.66475,19.734573333333337,16.472205000000002,14.077986666666664,10.949055555555555,9.11066,0.8678465902559213,1.0596593657351292,1.6432124775256731,1.2210215234269042,1.8934365773576438,2.174572814005606,2.6052533140928404,3.0483241448351044,1.5506987723226595,2.1336669862960056,2.4965359630022856,3.4514,2.2766,58.3777
